PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39886134","Prospective evaluation of artificial intelligence (AI) applications for use in cancer pathways following diagnosis: a systematic review","Macheka S, Ng PY, Ginsburg O, Hope A, Sullivan R, Aggarwal A.","BMJ Oncol. 2024 May 10;3(1):e000255. doi: 10.1136/bmjonc-2023-000255. eCollection 2024.","Macheka S","BMJ Oncol","2024","2025/01/31","PMC11235004","","10.1136/bmjonc-2023-000255"
"32626458","Envisioning the expertise of the future","Naydenova S, de Luca L, Yamadjako S.","EFSA J. 2019 Jul 8;17(Suppl 1):e170721. doi: 10.2903/j.efsa.2019.e170721. eCollection 2019 Jul.","Naydenova S","EFSA J","2019","2020/07/07","PMC7015515","","10.2903/j.efsa.2019.e170721"
"40144330","Artificial Intelligence to Promote Racial and Ethnic Cardiovascular Health Equity","Amponsah D, Thamman R, Brandt E, James C, Spector-Bagdady K, Yong CM.","Curr Cardiovasc Risk Rep. 2024 Nov;18(11):153-162. doi: 10.1007/s12170-024-00745-6. Epub 2024 Aug 20.","Amponsah D","Curr Cardiovasc Risk Rep","2024","2025/03/27","PMC11938301","NIHMS2066892","10.1007/s12170-024-00745-6"
"40982613","Trust: The foundation of health systems","McKee M, van Schalkwyk MCI, Greenley R, Permanand G.","Copenhagen (Denmark): European Observatory on Health Systems and Policies; 2025.","McKee M","Trust: The foundation of health systems","2025","2025/01/01","","",""
"35758989","Algorithmic discrimination causes less moral outrage than human discrimination","Bigman YE, Wilson D, Arnestad MN, Waytz A, Gray K.","J Exp Psychol Gen. 2023 Jan;152(1):4-27. doi: 10.1037/xge0001250. Epub 2022 Jun 27.","Bigman YE","J Exp Psychol Gen","2023","2022/06/27","","","10.1037/xge0001250"
"37315689","Women in Allergy and Immunology: The Future Is Female, Let Us Soar!","Blumenthal KG, Bansal P, Youssef CM, Pappalardo AA.","J Allergy Clin Immunol Pract. 2023 Dec;11(12):3569-3577. doi: 10.1016/j.jaip.2023.06.010. Epub 2023 Jun 12.","Blumenthal KG","J Allergy Clin Immunol Pract","2023","2023/06/14","","","10.1016/j.jaip.2023.06.010"
"29784537","Artificial intelligence: A joint narrative on potential use in pediatric stem and immune cell therapies and regenerative medicine","Sniecinski I, Seghatchian J.","Transfus Apher Sci. 2018 Jun;57(3):422-424. doi: 10.1016/j.transci.2018.05.004. Epub 2018 May 9.","Sniecinski I","Transfus Apher Sci","2018","2018/05/23","","","10.1016/j.transci.2018.05.004"
"35249885","Artificial Intelligence Education for the Health Workforce: Expert Survey of Approaches and Needs","Gray K, Slavotinek J, Dimaguila GL, Choo D.","JMIR Med Educ. 2022 Apr 4;8(2):e35223. doi: 10.2196/35223.","Gray K","JMIR Med Educ","2022","2022/03/07","PMC9016514","","10.2196/35223"
"40988064","Artificial intelligence in healthcare and medicine: clinical applications, therapeutic advances, and future perspectives","Fahim YA, Hasani IW, Kabba S, Ragab WM.","Eur J Med Res. 2025 Sep 23;30(1):848. doi: 10.1186/s40001-025-03196-w.","Fahim YA","Eur J Med Res","2025","2025/09/23","PMC12455834","","10.1186/s40001-025-03196-w"
"38834930","An ethical assessment of professional opinions on concerns, chances, and limitations of the implementation of an artificial intelligence-based technology into the geriatric patient treatment and continuity of care","Parchmann N, Hansen D, Orzechowski M, Steger F.","Geroscience. 2024 Dec;46(6):6269-6282. doi: 10.1007/s11357-024-01229-6. Epub 2024 Jun 4.","Parchmann N","Geroscience","2024","2024/06/04","PMC11493912","","10.1007/s11357-024-01229-6"
"36321557","Folic acid supplementation and malaria susceptibility and severity among people taking antifolate antimalarial drugs in endemic areas","Crider K, Williams J, Qi YP, Gutman J, Yeung L, Mai C, Finkelstain J, Mehta S, Pons-Duran C, Menéndez C, Moraleda C, Rogers L, Daniels K, Green P.","Cochrane Database Syst Rev. 2022 Feb 1;2(2022):CD014217. doi: 10.1002/14651858.CD014217.","Crider K","Cochrane Database Syst Rev","2022","2022/11/02","PMC8805585","","10.1002/14651858.CD014217"
"40779078","Integrating mHealth Innovations into Decentralized Oncology Trials","Cicin FN, Cicin I.","J Med Syst. 2025 Aug 8;49(1):103. doi: 10.1007/s10916-025-02233-9.","Cicin FN","J Med Syst","2025","2025/08/08","","","10.1007/s10916-025-02233-9"
"41608225","Transformative Impact of Artificial Intelligence on Internal Medicine: Current Applications, Challenges, and Future Horizons for Urban Health","Fujita W, Sakamoto A, Sato E, Kaneko T, Kagiyama N.","Juntendo Med J. 2025 Nov 18;71(6):389-398. doi: 10.14789/ejmj.JMJ25-0019-R. eCollection 2025.","Fujita W","Juntendo Med J","2025","2026/01/29","PMC12835433","","10.14789/ejmj.JMJ25-0019-R"
"39767481","AI in Biomedicine-A Forward-Looking Perspective on Health Equity","Kumar D, Malin BA, Vishwanatha JK, Wu L, Hedges JR.","Int J Environ Res Public Health. 2024 Dec 10;21(12):1642. doi: 10.3390/ijerph21121642.","Kumar D","Int J Environ Res Public Health","2024","2025/01/08","PMC11675414","","10.3390/ijerph21121642"
"35896014","Advance Planning for Technology Use in Dementia Care: Development, Design, and Feasibility of a Novel Self-administered Decision-Making Tool","Berridge C, Turner NR, Liu L, Karras SW, Chen A, Fredriksen-Goldsen K, Demiris G.","JMIR Aging. 2022 Jul 27;5(3):e39335. doi: 10.2196/39335.","Berridge C","JMIR Aging","2022","2022/07/27","PMC9377442","","10.2196/39335"
"41189192","Supervised machine learning-based bias risk of prognostic models for total knee or hip arthroplasty patients: A systematic review","Zhang H, Jiang L, Zheng J, Li C.","Medicine (Baltimore). 2025 Oct 17;104(42):e45230. doi: 10.1097/MD.0000000000045230.","Zhang H","Medicine (Baltimore)","2025","2025/11/05","PMC12537099","","10.1097/MD.0000000000045230"
"38306667","Medical students' perceptions of an artificial intelligence (AI) assisted diagnosing program","Robleto E, Habashi A, Kaplan MB, Riley RL, Zhang C, Bianchi L, Shehadeh LA.","Med Teach. 2024 Sep;46(9):1180-1186. doi: 10.1080/0142159X.2024.2305369. Epub 2024 Feb 2.","Robleto E","Med Teach","2024","2024/02/02","","","10.1080/0142159X.2024.2305369"
"38548006","Participant flow diagrams for health equity in AI","Ellen JG, Matos J, Viola M, Gallifant J, Quion J, Anthony Celi L, Abu Hussein NS.","J Biomed Inform. 2024 Apr;152:104631. doi: 10.1016/j.jbi.2024.104631. Epub 2024 Mar 27.","Ellen JG","J Biomed Inform","2024","2024/03/28","","","10.1016/j.jbi.2024.104631"
"38508642","Artificial intelligence tools for optimising recruitment and retention in clinical trials: a scoping review protocol","Lu X, Chen M, Lu Z, Shi X, Liang L.","BMJ Open. 2024 Mar 19;14(3):e080032. doi: 10.1136/bmjopen-2023-080032.","Lu X","BMJ Open","2024","2024/03/20","PMC10953313","","10.1136/bmjopen-2023-080032"
"40055746","Integrating Artificial Intelligence (AI) With Workforce Solutions for Sustainable Care: A Follow Up to Artificial Intelligence and Machine Learning (ML) Based Decision Support Systems in Mental Health","Higgins O, Wilson RL.","Int J Ment Health Nurs. 2025 Apr;34(2):e70019. doi: 10.1111/inm.70019.","Higgins O","Int J Ment Health Nurs","2025","2025/03/07","PMC11889284","","10.1111/inm.70019"
"39958114","Current Status and Future of Artificial Intelligence in Medicine","Basubrin O.","Cureus. 2025 Jan 16;17(1):e77561. doi: 10.7759/cureus.77561. eCollection 2025 Jan.","Basubrin O","Cureus","2025","2025/02/17","PMC11830112","","10.7759/cureus.77561"
"38559578","Digital technologies used in clinical trial recruitment and enrollment including application to trial diversity and inclusion: A systematic review","Kasahara A, Mitchell J, Yang J, Cuomo RE, McMann TJ, Mackey TK.","Digit Health. 2024 Mar 28;10:20552076241242390. doi: 10.1177/20552076241242390. eCollection 2024 Jan-Dec.","Kasahara A","Digit Health","2024","2024/04/01","PMC10981266","","10.1177/20552076241242390"
"39275850","Artificial intelligence and health-related data: The patient's best interest and data ownership dilemma","Dziedzic A, Issa J, Chaurasia A, Tanasiewicz M.","Proc Inst Mech Eng H. 2024 Oct;238(10):1023-1028. doi: 10.1177/09544119241279630. Epub 2024 Sep 14.","Dziedzic A","Proc Inst Mech Eng H","2024","2024/09/14","","","10.1177/09544119241279630"
"40967387","Harnessing Artificial Intelligence to Safeguard Food Quality and Safety","Singh D.","J Food Prot. 2025 Oct-Nov;88(11):100621. doi: 10.1016/j.jfp.2025.100621. Epub 2025 Sep 16.","Singh D","J Food Prot","2025","2025/09/18","","","10.1016/j.jfp.2025.100621"
"36246553","Does AI Debias Recruitment? Race, Gender, and AI's ""Eradication of Difference""","Drage E, Mackereth K.","Philos Technol. 2022;35(4):89. doi: 10.1007/s13347-022-00543-1. Epub 2022 Oct 10.","Drage E","Philos Technol","2022","2022/10/17","PMC9550152","","10.1007/s13347-022-00543-1"
"33912213","Intelligent Health Care: Applications of Deep Learning in Computational Medicine","Yang S, Zhu F, Ling X, Liu Q, Zhao P.","Front Genet. 2021 Apr 12;12:607471. doi: 10.3389/fgene.2021.607471. eCollection 2021.","Yang S","Front Genet","2021","2021/04/29","PMC8075004","","10.3389/fgene.2021.607471"
"39444664","Beyond the stereotypes: Artificial Intelligence image generation and diversity in anesthesiology","Gisselbaek M, Minsart L, Köselerli E, Suppan M, Meco BC, Seidel L, Albert A, Barreto Chang OL, Saxena S, Berger-Estilita J.","Front Artif Intell. 2024 Oct 9;7:1462819. doi: 10.3389/frai.2024.1462819. eCollection 2024.","Gisselbaek M","Front Artif Intell","2024","2024/10/24","PMC11497631","","10.3389/frai.2024.1462819"
"38046016","Artificial intelligence: a new field of knowledge for nephrologists?","Fayos De Arizón L, Viera ER, Pilco M, Perera A, De Maeztu G, Nicolau A, Furlano M, Torra R.","Clin Kidney J. 2023 Jul 29;16(12):2314-2326. doi: 10.1093/ckj/sfad182. eCollection 2023 Dec.","Fayos De Arizón L","Clin Kidney J","2023","2023/12/04","PMC10689169","","10.1093/ckj/sfad182"
"36445739","Ethical and Methodological Considerations of Twitter Data for Public Health Research: Systematic Review","Takats C, Kwan A, Wormer R, Goldman D, Jones HE, Romero D.","J Med Internet Res. 2022 Nov 29;24(11):e40380. doi: 10.2196/40380.","Takats C","J Med Internet Res","2022","2022/11/29","PMC9748795","","10.2196/40380"
"41426328","Artificial intelligence in oncology drug development and management: a precision medicine perspective","Fang C, Zhou P, Zhang X, He Y, Yang Q.","Front Oncol. 2025 Dec 4;15:1609827. doi: 10.3389/fonc.2025.1609827. eCollection 2025.","Fang C","Front Oncol","2025","2025/12/22","PMC12711520","","10.3389/fonc.2025.1609827"
"38486738","Evaluating human resources management literacy: A performance analysis of ChatGPT and bard","Raman R, Venugopalan M, Kamal A.","Heliyon. 2024 Mar 3;10(5):e27026. doi: 10.1016/j.heliyon.2024.e27026. eCollection 2024 Mar 15.","Raman R","Heliyon","2024","2024/03/15","PMC10937570","","10.1016/j.heliyon.2024.e27026"
"36939638","Applications of artificial intelligence in clinical management, research, and health administration: imaging perspectives with a focus on hemophilia","Doria AS.","Expert Rev Hematol. 2023 Jun;16(6):391-405. doi: 10.1080/17474086.2023.2192474. Epub 2023 Apr 11.","Doria AS","Expert Rev Hematol","2023","2023/03/20","","","10.1080/17474086.2023.2192474"
"39572076","Ethical considerations on the use of big data and artificial intelligence in kidney research from the ERA ethics committee","Van Biesen W, Ponikvar JB, Fontana M, Heering P, Sever MS, Sawhney S, Luyckx V.","Nephrol Dial Transplant. 2025 Feb 28;40(3):455-464. doi: 10.1093/ndt/gfae267.","Van Biesen W","Nephrol Dial Transplant","2025","2024/11/21","PMC11879022","","10.1093/ndt/gfae267"
"38651267","Tool or Tyrant: Guiding and Guarding Generative Artificial Intelligence Use in Nursing Education","Lane SH, Haley T, Brackney DE.","Creat Nurs. 2024 May;30(2):125-132. doi: 10.1177/10784535241247094. Epub 2024 Apr 23.","Lane SH","Creat Nurs","2024","2024/04/23","","","10.1177/10784535241247094"
"37817816","Innovative Technologies in CNS Trials: Promises and Pitfalls for Recruitment, Retention, and Representativeness","Lutz J, Pratap A, Lenze EJ, Bestha D, Lipschitz JM, Karantzoulis S, Vaidyanathan U, Robin J, Horan W, Brannan S, Mittoux A, Davis MC, Lakhan SE, Keefe R.","Innov Clin Neurosci. 2023 Sep 1;20(7-9):40-46. eCollection 2023 Jul-Sep.","Lutz J","Innov Clin Neurosci","2023","2023/10/11","PMC10561984","",""
"38096002","A Machine Learning Model to Predict Patients' Adherence Behavior and a Decision Support System for Patients With Metastatic Breast Cancer: Protocol for a Randomized Controlled Trial","Masiero M, Spada GE, Sanchini V, Munzone E, Pietrobon R, Teixeira L, Valencia M, Machiavelli A, Fragale E, Pezzolato M, Pravettoni G.","JMIR Res Protoc. 2023 Dec 14;12:e48852. doi: 10.2196/48852.","Masiero M","JMIR Res Protoc","2023","2023/12/14","PMC10755656","","10.2196/48852"
"38970241","Artificial Intelligence Readiness, Perceptions, and Educational Needs Among Dental Students: A Cross-Sectional Study","Hammoudi Halat D, Shami R, Daud A, Sami W, Soltani A, Malki A.","Clin Exp Dent Res. 2024 Aug;10(4):e925. doi: 10.1002/cre2.925.","Hammoudi Halat D","Clin Exp Dent Res","2024","2024/07/06","PMC11226543","","10.1002/cre2.925"
"35959005","Robots are judging me: Perceived fairness of algorithmic recruitment tools","Hilliard A, Guenole N, Leutner F.","Front Psychol. 2022 Jul 25;13:940456. doi: 10.3389/fpsyg.2022.940456. eCollection 2022.","Hilliard A","Front Psychol","2022","2022/08/12","PMC9358218","","10.3389/fpsyg.2022.940456"
"37884940","Exploring patient perspectives on how they can and should be engaged in the development of artificial intelligence (AI) applications in health care","Adus S, Macklin J, Pinto A.","BMC Health Serv Res. 2023 Oct 26;23(1):1163. doi: 10.1186/s12913-023-10098-2.","Adus S","BMC Health Serv Res","2023","2023/10/26","PMC10605984","","10.1186/s12913-023-10098-2"
"40865025","Review and Commentary on Digital Pathology and Artificial Intelligence in Pathology","Sirintrapun SJ.","JCO Clin Cancer Inform. 2025 Aug;9:e2500017. doi: 10.1200/CCI-25-00017. Epub 2025 Aug 27.","Sirintrapun SJ","JCO Clin Cancer Inform","2025","2025/08/27","","","10.1200/CCI-25-00017"
"39017712","[Supporting medical and nursing activities with AI: recommendations for responsible design and use]","Bratan T, Schneider D, Funer F, Heyen NB, Klausen A, Liedtke W, Lipprandt M, Salloch S, Langanke M.","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz. 2024 Sep;67(9):1039-1046. doi: 10.1007/s00103-024-03918-1. Epub 2024 Jul 17.","Bratan T","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","2024","2024/07/17","PMC11349829","","10.1007/s00103-024-03918-1"
"39321006","A Global Cybersecurity Standardization Framework for Healthcare Informatics","Gupta K, Mishra V, Makkar A.","IEEE J Biomed Health Inform. 2024 Sep 25;PP. doi: 10.1109/JBHI.2024.3467179. Online ahead of print.","Gupta K","IEEE J Biomed Health Inform","2024","2024/09/25","","","10.1109/JBHI.2024.3467179"
"41576800","Human-GenAI-based agent collaboration: How employee perceptions shape knowledge sharing, thriving, and well-being","Nguyen M, Nham TP, Alghafes R, Rahman O, Imre G.","Acta Psychol (Amst). 2026 Jan 21;263:106271. doi: 10.1016/j.actpsy.2026.106271. Online ahead of print.","Nguyen M","Acta Psychol (Amst)","2026","2026/01/23","","","10.1016/j.actpsy.2026.106271"
"40784603","Digital twins in increasing diversity in clinical trials: A systematic review","Tubbs A, Vazquez EA.","J Biomed Inform. 2025 Sep;169:104879. doi: 10.1016/j.jbi.2025.104879. Epub 2025 Aug 8.","Tubbs A","J Biomed Inform","2025","2025/08/10","","","10.1016/j.jbi.2025.104879"
"38149419","ARCHERY: a prospective observational study of artificial intelligence-based radiotherapy treatment planning for cervical, head and neck and prostate cancer - study protocol","Aggarwal A, Court LE, Hoskin P, Jacques I, Kroiss M, Laskar S, Lievens Y, Mallick I, Abdul Malik R, Miles E, Mohamad I, Murphy C, Nankivell M, Parkes J, Parmar M, Roach C, Simonds H, Torode J, Vanderstraeten B, Langley R.","BMJ Open. 2023 Dec 7;13(12):e077253. doi: 10.1136/bmjopen-2023-077253.","Aggarwal A","BMJ Open","2023","2023/12/27","PMC10711912","","10.1136/bmjopen-2023-077253"
"39610851","Exploring how AI adoption in the workplace affects employees: a bibliometric and systematic review","Soulami M, Benchekroun S, Galiulina A.","Front Artif Intell. 2024 Nov 14;7:1473872. doi: 10.3389/frai.2024.1473872. eCollection 2024.","Soulami M","Front Artif Intell","2024","2024/11/29","PMC11602465","","10.3389/frai.2024.1473872"
"40957986","AI-powered insights in pediatric nephrology: current applications and future opportunities","Nada A, Ahmed Y, Hu J, Weidemann D, Gorman GH, Lecea EG, Sandokji IA, Cha S, Shin S, Bani-Hani S, Mannemuddhu SS, Ruebner RL, Kakajiwala A, Raina R, George R, Elchaki R, Moritz ML; The American Society of Pediatric Nephrology Quality Improvement and Artificial Intelligence (ASPN QI/AI) Interest Group.","Pediatr Nephrol. 2025 Sep 16. doi: 10.1007/s00467-025-06911-1. Online ahead of print.","Nada A","Pediatr Nephrol","2025","2025/09/16","","","10.1007/s00467-025-06911-1"
"39240560","Ethical Considerations in the Design and Conduct of Clinical Trials of Artificial Intelligence","Youssef A, Nichol AA, Martinez-Martin N, Larson DB, Abramoff M, Wolf RM, Char D.","JAMA Netw Open. 2024 Sep 3;7(9):e2432482. doi: 10.1001/jamanetworkopen.2024.32482.","Youssef A","JAMA Netw Open","2024","2024/09/06","PMC11380101","","10.1001/jamanetworkopen.2024.32482"
"35462032","Digital technologies and the democratization of clinical research: Social media, wearables, and artificial intelligence","Korjian S, Gibson CM.","Contemp Clin Trials. 2022 Jun;117:106767. doi: 10.1016/j.cct.2022.106767. Epub 2022 Apr 21.","Korjian S","Contemp Clin Trials","2022","2022/04/24","","","10.1016/j.cct.2022.106767"
"39719286","PREVENTion and treatment of incontinence-associated dermatitis through a codesigned manual (PREVENT-IAD): a study protocol for a feasibility cluster randomised controlled trial with a nested process evaluation","Woodward S, Graham T, Sooriah S, Beeckman D, Chatterton C, Fader M, Fiorentino F, Fitzpatrick JM, Harris R, Kottner J, Norton C, Worsley P.","BMJ Open. 2024 Dec 23;14(12):e092338. doi: 10.1136/bmjopen-2024-092338.","Woodward S","BMJ Open","2024","2024/12/24","PMC11667359","","10.1136/bmjopen-2024-092338"
"40003424","Exploring Human-AI Dynamics in Enhancing Workplace Health and Safety: A Narrative Review","Fiegler-Rudol J, Lau K, Mroczek A, Kasperczyk J.","Int J Environ Res Public Health. 2025 Jan 30;22(2):199. doi: 10.3390/ijerph22020199.","Fiegler-Rudol J","Int J Environ Res Public Health","2025","2025/02/26","PMC11855051","","10.3390/ijerph22020199"
"35874355","Should I Trust the Artificial Intelligence to Recruit? Recruiters' Perceptions and Behavior When Faced With Algorithm-Based Recommendation Systems During Resume Screening","Lacroux A, Martin-Lacroux C.","Front Psychol. 2022 Jul 6;13:895997. doi: 10.3389/fpsyg.2022.895997. eCollection 2022.","Lacroux A","Front Psychol","2022","2022/07/25","PMC9298741","","10.3389/fpsyg.2022.895997"
"39606143","Integration of genomic medicine to mainstream patient care within the UK National Health Service","Karthikeyan A, McKee S, McKay GJ.","Ulster Med J. 2024 Nov;93(3):111-118. Epub 2024 Nov 26.","Karthikeyan A","Ulster Med J","2024","2024/11/28","PMC11591220","",""
"34809416","Gender differences in under-reporting hiring discrimination in Korea: a machine learning approach","Yoon J, Kim JH, Chung Y, Park J, Sorensen G, Kim SS.","Epidemiol Health. 2021;43:e2021099. doi: 10.4178/epih.e2021099. Epub 2021 Nov 17.","Yoon J","Epidemiol Health","2021","2021/11/23","PMC8920741","","10.4178/epih.e2021099"
"40380415","Pros, Cons and Limits of AI in Public Health","Tsirintani M.","Stud Health Technol Inform. 2025 May 15;327:208-212. doi: 10.3233/SHTI250303.","Tsirintani M","Stud Health Technol Inform","2025","2025/05/17","","","10.3233/SHTI250303"
"41262821","From Design to Closure: Artificial Intelligence Transforming Clinical Research","Vats K, Alam MM.","Cureus. 2025 Oct 18;17(10):e94895. doi: 10.7759/cureus.94895. eCollection 2025 Oct.","Vats K","Cureus","2025","2025/11/20","PMC12624242","","10.7759/cureus.94895"
"32366645","Estimating the deep replicability of scientific findings using human and artificial intelligence","Yang Y, Youyou W, Uzzi B.","Proc Natl Acad Sci U S A. 2020 May 19;117(20):10762-10768. doi: 10.1073/pnas.1909046117. Epub 2020 May 4.","Yang Y","Proc Natl Acad Sci U S A","2020","2020/05/06","PMC7245108","","10.1073/pnas.1909046117"
"38885990","Assessing the effectiveness of artificial intelligence (AI) in prioritising CT head interpretation: study protocol for a stepped-wedge cluster randomised trial (ACCEPT-AI)","Vimalesvaran K, Robert D, Kumar S, Kumar A, Narbone M, Dharmadhikari R, Harrison M, Ather S, Novak A, Grzeda M, Gooch J, Woznitza N, Hall M, Shuaib H, Lowe DJ.","BMJ Open. 2024 Jun 16;14(6):e078227. doi: 10.1136/bmjopen-2023-078227.","Vimalesvaran K","BMJ Open","2024","2024/06/17","PMC11184206","","10.1136/bmjopen-2023-078227"
"39121051","A comprehensive overview of barriers and strategies for AI implementation in healthcare: Mixed-method design","Nair M, Svedberg P, Larsson I, Nygren JM.","PLoS One. 2024 Aug 9;19(8):e0305949. doi: 10.1371/journal.pone.0305949. eCollection 2024.","Nair M","PLoS One","2024","2024/08/09","PMC11315296","","10.1371/journal.pone.0305949"
"41413010","Artificial Intelligence: Promises and Perils for Employer-Sponsored Mental Health and Well-Being Initiatives","Moseley K.","Am J Health Promot. 2026 Feb;40(2):253-255. doi: 10.1177/08901171251406962. Epub 2025 Dec 18.","Moseley K","Am J Health Promot","2026","2025/12/18","","","10.1177/08901171251406962"
"41291876","Artificial intelligence and machine learning approaches for patient safety in complex surgery: a review","Ahmed MM, Othman ZK, Adebayo UO, Kasimieh O, Okesanya OJ, Musa SS, Branda F, Cañezo VC Jr, Cue EG, Prisno Iii DEL.","Patient Saf Surg. 2025 Nov 25;19(1):33. doi: 10.1186/s13037-025-00458-8.","Ahmed MM","Patient Saf Surg","2025","2025/11/26","PMC12648791","","10.1186/s13037-025-00458-8"
"40655813","The Role of Artificial Intelligence in Safeguarding Patient Privacy in Healthcare Systems","Jangid P, Meena A, Prerna R, Hashmi ZH, Kumar V, Bhagtani H.","J Pharm Bioallied Sci. 2025 Jun;17(Suppl 2):S1083-S1085. doi: 10.4103/jpbs.jpbs_381_25. Epub 2025 Jun 18.","Jangid P","J Pharm Bioallied Sci","2025","2025/07/14","PMC12244842","","10.4103/jpbs.jpbs_381_25"
"39153563","Investigation of bias in the automated assessment of school violence","Kanbar LJ, Mishra A, Osborn A, Cifuentes A, Combs J, Sorter M, Barzman D, Dexheimer JW.","J Biomed Inform. 2024 Sep;157:104709. doi: 10.1016/j.jbi.2024.104709. Epub 2024 Aug 15.","Kanbar LJ","J Biomed Inform","2024","2024/08/17","PMC11431206","NIHMS2019972","10.1016/j.jbi.2024.104709"
"41180820","Issues of AI and human resource development: applications in education and the arts","Jung EJ, Yoon HJ.","Front Artif Intell. 2025 Oct 17;8:1619980. doi: 10.3389/frai.2025.1619980. eCollection 2025.","Jung EJ","Front Artif Intell","2025","2025/11/03","PMC12575348","","10.3389/frai.2025.1619980"
"40405753","Equitably Applying Artificial Intelligence in the United States Workforce Using Training and Collaboration","American Public Health Association.","New Solut. 2025 Aug;35(2):246-254. doi: 10.1177/10482911251337448. Epub 2025 May 23.","American Public Health Association","New Solut","2025","2025/05/23","","","10.1177/10482911251337448"
"36797424","Precision of CT-derived alveolar recruitment assessed by human observers and a machine learning algorithm in moderate and severe ARDS","Penarrubia L, Verstraete A, Orkisz M, Davila E, Boussel L, Yonis H, Mezidi M, Dhelft F, Danjou W, Bazzani A, Sigaud F, Bayat S, Terzi N, Girard M, Bitker L, Roux E, Richard JC.","Intensive Care Med Exp. 2023 Feb 17;11(1):8. doi: 10.1186/s40635-023-00495-6.","Penarrubia L","Intensive Care Med Exp","2023","2023/02/16","PMC9934943","","10.1186/s40635-023-00495-6"
"35017634","Digital health tools for the passive monitoring of depression: a systematic review of methods","De Angel V, Lewis S, White K, Oetzmann C, Leightley D, Oprea E, Lavelle G, Matcham F, Pace A, Mohr DC, Dobson R, Hotopf M.","NPJ Digit Med. 2022 Jan 11;5(1):3. doi: 10.1038/s41746-021-00548-8.","De Angel V","NPJ Digit Med","2022","2022/01/12","PMC8752685","","10.1038/s41746-021-00548-8"
"39212021","Exploring the Challenges and Opportunities of Implementing artificial intelligence in healthcare settings in Nepal: A literature review","Dahal DP , Sharma P .","Kathmandu Univ Med J (KUMJ). 2023 Oct.-Dec.;21(84):436-443.","Dahal DP","Kathmandu Univ Med J (KUMJ)","2023","2024/08/30","","",""
"38756258","Optimizing the Clinical Direction of Artificial Intelligence With Health Policy: A Narrative Review of the Literature","Lakkimsetti M, Devella SG, Patel KB, Dhandibhotla S, Kaur J, Mathew M, Kataria J, Nallani M, Farwa UE, Patel T, Egbujo UC, Meenashi Sundaram D, Kenawy S, Roy M, Khan SF.","Cureus. 2024 Apr 16;16(4):e58400. doi: 10.7759/cureus.58400. eCollection 2024 Apr.","Lakkimsetti M","Cureus","2024","2024/05/17","PMC11098056","","10.7759/cureus.58400"
"39334022","Readiness, knowledge, and perception towards artificial intelligence of medical students at faculty of medicine, Pelita Harapan University, Indonesia: a cross sectional study","Lugito NPH, Cucunawangsih C, Suryadinata N, Kurniawan A, Wijayanto R, Sungono V, Sabran MZ, Albert N, Budianto CJ, Rubismo KY, Purushotama NBSA, Zebua A.","BMC Med Educ. 2024 Sep 27;24(1):1044. doi: 10.1186/s12909-024-06058-x.","Lugito NPH","BMC Med Educ","2024","2024/09/28","PMC11430330","","10.1186/s12909-024-06058-x"
"32457823","Digital Innovations for Global Mental Health: Opportunities for Data Science, Task Sharing, and Early Intervention","Naslund JA, Gonsalves PP, Gruebner O, Pendse SR, Smith SL, Sharma A, Raviola G.","Curr Treat Options Psychiatry. 2019 Dec;6(4):337-351. doi: 10.1007/s40501-019-00186-8. Epub 2019 Sep 7.","Naslund JA","Curr Treat Options Psychiatry","2019","2020/05/28","PMC7250369","NIHMS1539338","10.1007/s40501-019-00186-8"
"39529104","Representation of intensivists' race/ethnicity, sex, and age by artificial intelligence: a cross-sectional study of two text-to-image models","Gisselbaek M, Suppan M, Minsart L, Köselerli E, Nainan Myatra S, Matot I, Barreto Chang OL, Saxena S, Berger-Estilita J.","Crit Care. 2024 Nov 11;28(1):363. doi: 10.1186/s13054-024-05134-4.","Gisselbaek M","Crit Care","2024","2024/11/11","PMC11556211","","10.1186/s13054-024-05134-4"
"36703080","The potential of point-of-care diagnostics to optimise prehospital trauma triage: a systematic review of literature","Stojek L, Bieler D, Neubert A, Ahnert T, Imach S.","Eur J Trauma Emerg Surg. 2023 Aug;49(4):1727-1739. doi: 10.1007/s00068-023-02226-8. Epub 2023 Jan 26.","Stojek L","Eur J Trauma Emerg Surg","2023","2023/01/26","PMC10449679","","10.1007/s00068-023-02226-8"
"30521684","Visual inspection for diagnosing cutaneous melanoma in adults","Dinnes J, Deeks JJ, Grainge MJ, Chuchu N, Ferrante di Ruffano L, Matin RN, Thomson DR, Wong KY, Aldridge RB, Abbott R, Fawzy M, Bayliss SE, Takwoingi Y, Davenport C, Godfrey K, Walter FM, Williams HC; Cochrane Skin Cancer Diagnostic Test Accuracy Group.","Cochrane Database Syst Rev. 2018 Dec 4;12(12):CD013194. doi: 10.1002/14651858.CD013194.","Dinnes J","Cochrane Database Syst Rev","2018","2018/12/07","PMC6492463","","10.1002/14651858.CD013194"
